Order_ID,Order_Date,Region,Category,Sub_Category,Sales,Quantity,Profit
ORD100000,2019-01-01 00:00:00.000000000,South America,Office Supplies,Binders,2645.04,12,289.12
ORD100001,2019-01-01 01:03:06.123722474,Africa,Office Supplies,Paper,3501.0,3,296.24
ORD100002,2019-01-01 02:06:12.247444948,North America,Office Supplies,Binders,3921.14,13,249.71
ORD100003,2019-01-01 03:09:18.371167423,Africa,Office Supplies,Phones,3221.82,4,327.22
ORD100004,2019-01-01 04:12:24.494889897,Africa,Technology,Accessories,5171.96,7,992.33
ORD100005,2019-01-01 05:15:30.618612372,Europe,Office Supplies,Chairs,1240.35,1,113.65
ORD100006,2019-01-01 06:18:36.742334846,North America,Furniture,Binders,1273.88,5,-43.2
ORD100007,2019-01-01 07:21:42.866057321,North America,Furniture,Storage,1094.51,7,48.97
ORD100008,2019-01-01 08:24:48.989779795,North America,Furniture,Phones,2051.61,4,12.38
ORD100009,2019-01-01 09:27:55.113502270,Africa,Office Supplies,Accessories,1538.78,10,112.94
ORD100010,2019-01-01 10:31:01.237224744,South America,Technology,Tables,1353.53,2,335.66
ORD100011,2019-01-01 11:34:07.360947218,North America,Technology,Paper,43.16,12,8.34
ORD100012,2019-01-01 12:37:13.484669693,Africa,Office Supplies,Chairs,1944.98,12,189.56
ORD100013,2019-01-01 13:40:19.608392167,Europe,Office Supplies,Binders,3254.3,11,305.71
ORD100014,2019-01-01 14:43:25.732114642,South America,Office Supplies,Storage,2392.51,8,137.09
ORD100015,2019-01-01 15:46:31.855837116,Europe,Furniture,Phones,3931.71,1,244.51
ORD100016,2019-01-01 16:49:37.979559591,South America,Office Supplies,Storage,1736.19,6,126.08
ORD100017,2019-01-01 17:52:44.103282065,Africa,Office Supplies,Storage,3736.65,6,395.81
ORD100018,2019-01-01 18:55:50.227004540,Asia,Technology,Phones,1345.41,4,283.56
ORD100019,2019-01-01 19:58:56.350727014,South America,Technology,Storage,3568.9,4,648.5
ORD100020,2019-01-01 21:02:02.474449489,Europe,Furniture,Binders,1214.88,7,4.18
ORD100021,2019-01-01 22:05:08.598171963,Africa,Furniture,Paper,959.52,10,57.31
ORD100022,2019-01-01 23:08:14.721894437,South America,Furniture,Phones,4017.03,11,130.59
ORD100023,2019-01-02 00:11:20.845616912,Asia,Furniture,Accessories,2525.59,3,126.92
ORD100024,2019-01-02 01:14:26.969339386,Asia,Office Supplies,Phones,321.23,13,19.62
ORD100025,2019-01-02 02:17:33.093061861,North America,Office Supplies,Tables,1546.05,6,162.47
ORD100026,2019-01-02 03:20:39.216784335,North America,Furniture,Chairs,3522.24,12,-6.84
ORD100027,2019-01-02 04:23:45.340506810,Europe,Furniture,Tables,439.41,3,18.89
ORD100028,2019-01-02 05:26:51.464229284,South America,Technology,Tables,177.77,4,28.7
ORD100029,2019-01-02 06:29:57.587951759,South America,Technology,Paper,5137.15,7,935.69
ORD100030,2019-01-02 07:33:03.711674233,North America,Technology,Binders,4718.7,12,1013.99
ORD100031,2019-01-02 08:36:09.835396707,South America,Furniture,Accessories,307.95,9,-2.73
ORD100032,2019-01-02 09:39:15.959119182,South America,Technology,Paper,1140.21,12,271.41
ORD100033,2019-01-02 10:42:22.082841656,Asia,Furniture,Paper,369.3,3,18.16
ORD100034,2019-01-02 11:45:28.206564131,North America,Office Supplies,Paper,325.58,12,36.11
ORD100035,2019-01-02 12:48:34.330286605,Africa,Furniture,Tables,4329.9,4,40.31
ORD100036,2019-01-02 13:51:40.454009080,North America,Office Supplies,Binders,2608.61,2,136.64
ORD100037,2019-01-02 14:54:46.577731554,Africa,Office Supplies,Binders,1620.12,11,146.35
ORD100038,2019-01-02 15:57:52.701454029,Asia,Furniture,Phones,1506.96,6,1.32
ORD100039,2019-01-02 17:00:58.825176503,Europe,Technology,Tables,4082.16,5,795.28
ORD100040,2019-01-02 18:04:04.948898978,South America,Furniture,Accessories,1188.91,3,62.02
